IAGA,GLON,GLAT,MLON,MLAT,Station name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
NGK,12.68,52.07,89.21,48.03,Niemegk,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,98%
BDV,14.02,49.07,89.57,44.37,Budkov,100%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,99%,100%,98%,45%,53%,89%,94%,92%,94%
FRD,282.63,38.2,-0.86,48.2,Fredericksburg,100%,100%,98%,98%,95%,99%,99%,99%,98%,98%,100%,100%,99%,99%,99%,99%,100%,100%,100%,100%
CRP,275.09,10.44,-12.78,21.66,Chiripa,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,93%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HYB,78.6,17.4,151.7,10.39,Hyderabad,0%,0%,0%,0%,0%,0%,0%,0%,0%,97%,94%,100%,100%,49%,81%,100%,26%,0%,95%,0%
IPM,250.58,-27.2,-32.45,-19.41,Isla de Pascua,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,96%,91%,100%,100%,100%,94%,87%,100%,69%,27%
KMH,18.11,-26.54,86.04,-36.3,Keetmanshoop,0%,0%,0%,0%,0%,0%,0%,0%,0%,92%,77%,81%,90%,84%,86%,94%,68%,85%,96%,0%
NMP,39.25,-15.09,110.67,-24.92,Nampula,0%,0%,0%,0%,0%,0%,0%,0%,0%,84%,66%,89%,0%,0%,0%,0%,0%,0%,0%,0%
DED,211.21,70.36,-99.57,70.79,Deadhorse,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,77%,98%,99%,99%,99%,99%,96%,100%,97%,99%
KEP,323.51,-54.28,25.79,-45.02,King Edward Point,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,85%,0%,100%,8%,99%,99%,98%,96%,99%
